model,accuracy,precision,recall,f1,auc,tn,fp_false_rejection,fn_false_approval,tp,false_approval_rate,false_rejection_rate,approved_count,approval_rate,gross_profit_if_repaid,realized_default_loss,net_value,avg_loss_per_applicant,avg_net_value_per_applicant
logistic_regression,0.7423333333333333,0.45083487940630795,0.7286356821589205,0.5570200573065902,0.8035320102486262,1741,592,181,486,0.27136431784107945,0.25375053579082724,1922,0.6406666666666667,27625062.72,17733601.2,9891461.52,5911.2004,3297.15384
random_forest,0.8616666666666667,0.6567164179104478,0.7916041979010495,0.7178789938817132,0.9056262695913081,2057,276,139,528,0.20839580209895053,0.11830261465923704,2196,0.732,30529741.200000003,13484872.799999999,17044868.400000006,4494.9576,5681.622800000002
gradient_boosting,0.887,0.851931330472103,0.5952023988005997,0.7007943512797882,0.9063280190166383,2264,69,270,397,0.4047976011994003,0.02957565366480926,2534,0.8446666666666667,32247487.919999998,21674794.799999997,10572693.120000001,7224.931599999999,3524.23104
